Task,Status,Seconds,FreeGBBefore,Detail,Log
testPerception,PASS,0.204711375,8.36358642578125,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPerception.txt
testTracking,PASS,0.0972310416666667,8.3635139465332,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testTracking.txt
testOccupancy,PASS,0.680882041666667,8.36351013183594,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testOccupancy.txt
testPlanning,PASS,1.12389275,8.36346817016602,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPlanning.txt
testACARG,PASS,0.141505916666667,8.36344528198242,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testACARG.txt
testClosedLoop,PASS,4.18616845833333,8.36344146728516,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testClosedLoop.txt
testPhase8Scenarios,PASS,24.940622375,8.36320877075195,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPhase8Scenarios.txt
testPhase9Robustness,PASS,336.021301166667,8.36064529418945,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPhase9Robustness.txt
testRoadRunnerIntegration,PASS,7.21973066666667,6.78770446777344,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testRoadRunnerIntegration.txt
testPhase11Evaluation,PASS,419.926973625,6.78588485717773,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPhase11Evaluation.txt
testPhase12Demo,PASS,173.782046333333,5.43375396728516,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testPhase12Demo.txt
testIDDIntegration,PASS,4.54246004166667,5.44120025634766,,results/phase12/phase12_6_audit/regression_20260906_150927_503/testIDDIntegration.txt
mainPhase6,PASS,2.216644,5.44049453735352,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase6.txt
mainPhase7,PASS,5.10375304166667,5.44014739990234,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase7.txt
mainPhase8,PASS,24.2849700416667,5.44260025024414,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase8.txt
mainPhase9,PASS,81.6624537916667,5.43997192382812,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase9.txt
mainPhase10,PASS,0.231393875,5.43559265136719,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase10.txt
mainPhase11,PASS,82.8446817083333,5.43558883666992,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase11.txt
mainPhase12,PASS,22.6202585,5.09657287597656,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase12.txt
mainPhase12_5,PASS,1.99047145833333,5.09821319580078,,results/phase12/phase12_6_audit/regression_20260906_150927_503/mainPhase12_5.txt
